1000 2995
768 837 96
768 883 26
770 203 87
770 554 68
771 100 62
771 594 90
771 683 22
772 28 11
772 638 47
772 719 99
773 169 11
773 546 92
773 716 67
774 335 63
774 717 62
774 935 65
775 165 90
775 426 41
775 754 96
776 792 48
776 860 0
777 619 45
777 772 64
778 842 18
778 969 75
779 606 70
779 783 3
780 212 4
780 729 12
780 921 19
781 134 78
781 267 32
781 427 3
781 730 31
782 434 2
782 484 2
782 526 52
782 687 92
783 670 11
783 698 74
783 864 36
784 48 75
784 555 28
784 864 -6
785 608 7
786 182 68
786 292 -4
786 700 9
786 826 75
786 906 95
787 350 31
787 845 93
788 165 61
788 286 45
788 458 68
788 833 30
789 471 73
789 801 84
789 803 47
790 192 6
790 643 48
791 42 -5
791 194 30
791 465 12
791 747 92
791 778 79
791 820 66
792 380 -9
792 405 45
792 632 -3
792 915 50
793 771 88
794 177 -9
794 381 -4
794 546 76
794 652 92
794 983 -7
795 54 2
795 83 80
795 164 22
795 440 54
795 838 69
796 112 67
796 311 24
796 811 43
797 152 9
797 361 34
797 588 52
798 14 77
798 549 90
798 714 68
798 936 -2
799 36 61
799 51 80
799 299 25
799 767 12
800 38 68
800 386 89
800 833 16
801 22 47
801 475 18
801 780 85
801 926 75
802 400 72
803 4 84
803 155 71
803 286 80
803 470 10
803 643 10
804 588 1
804 732 89
805 514 28
806 297 7
806 635 18
806 821 58
807 151 83
807 944 34
808 217 63
808 762 32
809 250 22
809 409 21
809 719 13
810 304 51
810 411 26
810 647 11
811 577 6
811 934 54
812 561 70
812 803 -6
812 935 68
813 215 -3
813 490 67
813 661 91
814 140 56
814 376 60
814 478 78
814 628 52
814 693 27
815 157 63
815 293 56
815 480 25
815 992 67
816 423 25
817 117 -9
817 719 34
817 823 10
817 906 24
817 928 61
818 774 23
818 832 80
819 79 48
819 235 17
819 287 23
819 564 1
819 738 33
820 17 -8
820 217 17
820 457 1
820 634 44
820 701 64
820 720 80
820 810 25
820 827 30
822 421 30
823 40 45
823 170 1
823 424 84
823 730 71
823 837 3
824 550 -5
825 72 65
825 593 16
825 692 39
825 864 11
826 8 56
826 334 35
827 618 31
827 939 85
829 578 -1
830 583 60
830 819 98
830 996 30
831 868 69
832 558 35
832 597 37
832 635 -1
833 15 -2
833 154 83
834 75 0
834 209 12
834 763 94
835 223 0
835 840 63
835 854 59
836 400 34
836 421 81
836 972 41
837 70 31
837 358 53
837 570 9
837 824 89
837 944 89
838 182 53
838 932 70
838 988 50
839 112 74
839 299 98
839 615 15
840 235 93
840 477 89
840 634 80
841 71 29
841 177 7
842 435 0
842 813 47
843 49 87
843 159 -4
843 428 10
843 517 1
843 710 7
843 930 69
844 291 72
844 358 71
844 435 25
844 779 98
844 839 -1
845 158 88
845 166 60
845 344 40
845 447 62
845 861 60
845 906 59
846 173 60
846 642 75
847 296 37
848 409 80
849 150 29
849 228 68
849 302 64
849 347 20
849 786 39
850 24 97
850 641 86
851 379 26
852 30 83
852 45 0
852 928 32
853 482 84
853 535 87
854 76 76
854 669 24
854 784 15
854 830 10
855 29 86
855 129 88
855 732 75
855 849 85
856 250 14
856 309 15
857 646 67
858 514 96
858 595 52
858 927 54
858 987 26
859 59 85
859 164 90
859 225 28
859 293 25
859 416 50
859 491 25
859 736 67
859 971 67
859 992 44
860 85 38
860 585 -1
860 654 97
860 717 29
860 820 69
860 940 82
861 136 4
861 312 37
861 595 82
861 728 32
861 914 71
862 25 0
862 42 79
862 329 -2
862 600 60
862 835 99
863 376 85
863 382 23
863 957 69
864 639 -9
864 928 76
865 286 1
865 834 33
866 946 57
867 356 21
867 457 -5
867 752 67
867 906 50
867 981 8
868 249 78
868 776 88
869 590 32
869 646 52
870 366 -3
870 437 46
870 476 9
870 963 82
871 255 0
871 368 36
872 224 47
872 711 82
873 541 86
873 969 58
875 113 15
875 368 90
875 640 5
875 731 51
876 241 33
876 972 33
877 260 67
877 528 14
878 31 41
879 835 62
879 905 26
879 954 38
879 972 47
880 475 53
880 512 20
880 922 55
880 987 42
881 136 96
881 185 73
883 294 99
883 695 60
883 709 0
884 149 40
884 645 58
885 74 85
885 140 73
885 632 47
885 805 17
886 34 41
886 68 9
886 475 60
886 737 52
886 741 48
886 827 41
886 880 93
887 236 55
887 450 72
887 766 29
887 800 29
888 17 72
888 33 15
888 136 58
888 185 53
888 577 -9
888 615 88
888 849 87
890 88 99
890 137 11
890 278 32
890 289 33
890 629 83
890 928 47
891 232 82
891 429 78
892 185 80
892 315 -5
892 673 94
893 702 81
893 805 89
893 943 9
894 9 24
894 261 -6
895 834 88
895 957 75
895 987 9
896 102 39
896 429 56
896 787 43
897 51 78
897 278 97
897 710 37
898 211 31
899 10 28
899 205 47
899 959 12
900 12 46
900 110 -1
900 238 73
900 261 75
900 462 29
900 851 49
901 27 21
901 531 61
902 350 85
902 379 71
902 386 59
903 490 61
903 729 43
903 733 35
903 981 1
904 810 59
904 881 81
905 40 38
905 46 83
906 652 53
908 46 -7
908 171 2
908 421 25
908 432 98
909 277 20
909 293 65
909 951 10
910 315 71
910 646 25
910 819 -4
911 240 26
911 812 66
911 864 85
912 358 20
912 361 12
912 444 52
912 550 -9
912 696 52
912 864 88
913 245 55
913 294 10
913 436 81
913 768 34
913 971 52
914 652 41
914 754 3
915 69 63
915 277 57
915 826 88
916 139 -2
916 936 7
917 445 90
917 450 23
918 331 62
918 861 10
919 204 40
920 443 69
920 773 42
920 869 54
920 979 59
921 432 37
921 713 63
921 990 20
922 116 59
922 645 8
923 393 55
924 104 46
924 420 14
924 807 44
924 859 12
925 30 65
925 352 81
925 732 55
926 217 8
926 592 0
926 647 99
927 629 81
927 677 -7
927 706 19
928 354 26
928 409 62
929 112 19
929 149 13
929 571 31
929 947 74
930 866 1
931 284 84
931 338 60
931 391 82
931 673 46
931 793 91
932 65 34
932 138 63
932 247 39
932 418 98
932 467 15
932 980 67
933 19 -9
933 171 88
934 49 39
934 485 7
934 817 66
935 49 14
935 126 28
935 158 15
935 315 13
935 683 80
935 787 78
935 799 75
936 293 60
936 324 70
936 972 44
936 976 45
937 637 95
938 72 62
938 518 43
939 266 19
939 450 32
940 88 95
940 483 93
940 679 21
940 939 60
941 245 0
941 499 84
941 654 24
941 706 51
941 807 55
941 823 -5
942 270 28
942 769 74
943 97 -6
943 295 29
943 588 81
944 81 33
944 175 27
944 243 82
944 429 38
945 318 59
945 496 65
946 11 -5
946 364 96
947 292 27
947 536 91
948 163 3
948 755 4
948 967 37
949 314 6
949 330 0
949 856 73
950 393 35
950 485 59
950 512 44
950 517 83
950 629 63
950 927 21
951 702 78
952 43 27
952 429 34
953 296 15
953 804 28
953 828 68
954 356 63
954 476 0
954 554 -6
954 650 58
954 844 83
954 959 24
955 122 83
955 991 -7
956 745 7
956 981 20
957 11 0
957 712 70
958 8 18
958 200 38
958 479 54
958 883 94
959 30 -1
959 287 83
959 748 29
960 128 23
960 755 71
961 57 78
961 355 45
961 714 29
961 936 43
961 950 28
961 999 -3
962 730 81
963 102 17
963 511 -7
963 514 16
963 570 -9
963 600 76
963 636 93
963 930 66
964 671 88
965 87 28
965 158 94
965 167 60
965 360 45
965 729 93
965 929 34
966 35 82
966 910 -6
967 159 11
967 408 61
967 981 20
968 12 31
968 448 33
968 809 28
969 708 28
970 426 60
970 928 15
970 933 87
971 237 19
972 48 97
972 410 56
972 525 -7
972 688 95
972 710 16
973 584 45
973 752 44
973 884 96
974 404 83
974 552 5
975 277 11
975 557 79
975 936 19
976 579 28
977 852 98
977 920 83
978 635 -2
978 995 31
979 42 16
979 232 -5
979 503 76
979 665 -5
980 30 16
980 60 81
980 801 66
981 149 67
981 262 13
981 279 87
981 527 -7
982 460 47
982 602 36
983 371 49
983 613 16
983 676 66
983 703 77
983 938 3
984 876 43
985 372 21
985 664 40
985 820 99
985 988 50
986 138 78
986 188 52
986 412 86
986 656 60
986 680 10
986 751 -8
986 792 28
987 91 76
987 310 51
987 736 11
987 769 89
988 514 -8
988 523 79
988 754 24
989 308 33
989 886 39
990 383 37
990 509 20
990 560 97
991 314 93
991 655 81
991 834 80
992 194 5
993 281 9
993 389 -9
993 432 61
993 617 49
993 998 48
994 187 58
994 600 90
994 679 95
994 779 32
996 158 86
996 309 73
996 821 -9
996 877 50
996 949 -9
997 626 20
997 738 27
997 756 99
998 153 45
998 418 55
998 743 0
999 69 63
999 742 53
999 781 57
999 850 0
